100,200,300,400,500,600,700,800,900,1000,1100,1200,1300,1400,1500,1600,1700,1800,1900,2000,2100,2200,2300,2400,2500
0.904194119,0.839301586,0.770173558,0.699269486,0.621982523,0.532800382,0.458027795,0.351422073,0.265914878,0.196052635,0.146236285,0.098804985,0.060882552,0.035582173,0.018465413,0.009208658,0.004213134,0.001792954,0.000713326,0.00025068,9.00E-05,7.08E-05,2.43E-05,7.77E-06,2.24E-06
0.997576644,0.975632527,0.933529937,0.877306075,0.8097527,0.731363706,0.641167113,0.542371881,0.441143515,0.345015862,0.260790497,0.191759986,0.137433863,0.095914595,0.067432332,0.047642779,0.034816571,0.026144777,0.020330583,0.016310762,0.013171557,0.010938784,0.009259494,0.007638083,0.00639829
0.999970589,0.996875247,0.982405699,0.952750048,0.907211556,0.845267957,0.766857432,0.671820916,0.568157432,0.465363184,0.36923303,0.284705569,0.215681803,0.161354368,0.120780198,0.090508902,0.069325618,0.054735162,0.044019206,0.035847769,0.029475319,0.024583259,0.020669325,0.017384188,0.014670328
0.999999476,0.999613834,0.995409676,0.98202649,0.955482628,0.912519102,0.84934272,0.765769229,0.66714146,0.562642153,0.460573756,0.368047335,0.287251713,0.223255948,0.171815433,0.132651049,0.104595319,0.083824053,0.068190357,0.055753594,0.046217255,0.038643181,0.032396021,0.027229253,0.023041724
0.999999957,0.999949135,0.998768392,0.993020165,0.978136937,0.949413763,0.900360327,0.830161673,0.74029513,0.639418017,0.5356718,0.438724471,0.350026388,0.279219328,0.219683821,0.174442113,0.140038127,0.113417056,0.092797544,0.076406378,0.063682084,0.053362667,0.044493801,0.037390603,0.031669737
0.999999976,0.999992009,0.999648552,0.997189614,0.988864227,0.969696516,0.931634686,0.873288398,0.792434758,0.697361251,0.594334032,0.495254527,0.405885778,0.328434387,0.264611397,0.214341182,0.174527393,0.142657106,0.117644649,0.097914552,0.081959596,0.068713187,0.057443071,0.048186978,0.040606036
0.999999968,0.999997981,0.999893719,0.998782262,0.993991825,0.980835278,0.951078565,0.900855682,0.828178435,0.737744594,0.639461093,0.538034924,0.448098731,0.367985256,0.302968121,0.24967289,0.205799227,0.170135001,0.141667251,0.119061101,0.100304255,0.08428974,0.070651268,0.059419932,0.049809819
0.999999968,0.999999137,0.999959104,0.999397879,0.996524196,0.98671404,0.963085397,0.919774918,0.853693176,0.76477669,0.670177713,0.574568585,0.485511697,0.402276089,0.33279875,0.278055586,0.23369918,0.195036649,0.164445928,0.139011065,0.117907566,0.099475485,0.084146204,0.070888991,0.059179945
0.999999955,0.999999185,0.999978598,0.999678251,0.997750964,0.990396415,0.970669375,0.930930043,0.867927889,0.786683565,0.695995089,0.602939138,0.513444298,0.431035669,0.361080179,0.304024511,0.255529878,0.216438644,0.183981159,0.157714977,0.134417549,0.114257132,0.096821078,0.082195177,0.068622374
0.999999954,0.999999245,0.999985807,0.999788663,0.998395333,0.991760851,0.975379267,0.938341515,0.880049658,0.801309911,0.715824962,0.62373927,0.535908493,0.452988935,0.384081113,0.323667938,0.275387825,0.23464807,0.201688349,0.173415818,0.148756056,0.127947389,0.109165217,0.092316185,0.07800575
0.999999944,0.999999239,0.999987919,0.999819383,0.998754955,0.993040464,0.978305672,0.943441744,0.888049606,0.813826802,0.730140712,0.641005105,0.553726281,0.471682452,0.401012331,0.341772463,0.292458177,0.250694816,0.216607851,0.187482106,0.161826764,0.139035937,0.119321601,0.102380188,0.0867869
0.999999935,0.999998893,0.999987193,0.999836561,0.998678148,0.993694952,0.978790001,0.946400292,0.890059899,0.819581327,0.738217395,0.652294999,0.565379415,0.484474808,0.414511718,0.35360111,0.302581474,0.263446502,0.228413781,0.199019036,0.17171533,0.148885663,0.128336974,0.110204504,0.093493355
0.999999897,0.999998694,0.999983592,0.99984874,0.998769632,0.994075187,0.980075747,0.946155211,0.894139116,0.825546156,0.745474121,0.661949619,0.576569347,0.495962928,0.425474689,0.364407868,0.313852628,0.271946025,0.237702785,0.207644353,0.181142405,0.157671228,0.136445377,0.117016955,0.100408688
0.999999888,0.999998535,0.999982283,0.999843389,0.998824046,0.993954185,0.979338499,0.946972075,0.894448151,0.828464874,0.748936949,0.668676747,0.581157291,0.504192578,0.432050815,0.372681436,0.322499804,0.279690792,0.245726431,0.21480816,0.18778306,0.164107974,0.142318642,0.123315471,0.106207204
0.999999881,0.99999848,0.999980779,0.99980536,0.998730613,0.993983547,0.978031819,0.944357844,0.896550686,0.830198482,0.751532049,0.669083608,0.586838641,0.510802922,0.439151133,0.377219071,0.328349311,0.286673988,0.250712058,0.22039415,0.193619748,0.168253558,0.147874171,0.128025626,0.110967684
0.999999834,0.999998376,0.999980381,0.999802141,0.998425036,0.993181771,0.977649376,0.944842672,0.89485915,0.828509751,0.754661668,0.670251639,0.591403113,0.512628065,0.442426168,0.382465842,0.333218455,0.291038319,0.254990303,0.225644022,0.196709666,0.173031348,0.152214847,0.132424916,0.11495327
0.999999787,0.999996819,0.999970886,0.999730019,0.998328598,0.992395653,0.97757819,0.944925461,0.893011402,0.825881721,0.752368583,0.671331709,0.590299919,0.511071496,0.444577234,0.385405027,0.335757502,0.293661426,0.257403724,0.226601278,0.200259667,0.176097447,0.154429689,0.135595413,0.117398435
0.999999758,0.999996623,0.999963362,0.999726247,0.998326286,0.992219587,0.974981105,0.944668311,0.893445207,0.825445773,0.740964518,0.665372706,0.581484185,0.513619019,0.445558816,0.387740705,0.338839968,0.294926352,0.259187537,0.228460419,0.201712686,0.1789564,0.156518106,0.137078071,0.119223816
